# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
43.17;44.07;40.34;41.56;38.74;41.01;34.10;37.94;39.04;41.02;39.71;41.04;39.33;41.38;39.88;40.83;39.00;40.74;40.20;41.69;39.65;41.87;38.99;41.47;39.18;41.38;38.65;40.74;38.91;40.73;39.63;42.04;39.88;41.23;39.71;41.16;39.22;41.18;40.94;41.89;40.21;44.07;41.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44.02;45.76;40.28;41.49;38.69;40.95;33.78;37.80;38.89;40.85;39.60;40.92;39.25;41.27;39.75;40.73;38.94;40.68;39.96;41.50;39.47;41.71;38.91;41.33;39.13;41.33;38.57;40.60;38.91;40.68;39.34;41.58;39.86;40.91;39.66;41.10;39.16;41.11;40.81;41.45;40.04;45.76;41.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
45.17;46.40;40.24;41.43;38.61;40.89;33.52;37.60;38.77;40.69;39.45;40.79;39.10;41.14;39.54;40.51;38.87;40.60;39.84;41.10;39.31;41.52;38.83;41.26;39.06;41.21;38.51;40.54;38.90;40.57;39.23;41.06;39.80;40.63;39.63;41.04;39.14;41.06;40.65;41.01;39.92;46.40;40.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
46.52;46.85;40.30;41.38;38.61;40.86;33.31;37.37;38.70;40.52;39.42;40.53;39.06;41.01;39.37;40.41;38.83;40.53;39.76;40.90;39.27;41.18;38.69;41.16;39.00;41.20;38.41;40.51;38.90;40.56;39.27;40.61;39.79;40.41;39.62;41.02;39.14;41.02;40.49;40.63;39.73;46.85;40.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
48.00;46.61;40.95;41.34;38.69;40.85;33.11;37.14;38.65;40.41;39.41;40.45;39.06;40.73;39.35;40.37;38.77;40.49;39.71;40.76;39.35;41.06;38.65;41.10;38.87;41.30;38.41;40.53;38.96;40.64;39.35;40.28;39.79;40.24;39.61;41.03;39.15;41.03;40.37;40.37;39.73;46.61;39.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
49.52;46.14;41.59;41.34;38.89;40.88;32.94;36.92;38.61;40.33;39.43;40.44;39.31;40.65;39.61;40.66;38.76;40.48;39.71;40.69;39.53;40.99;38.66;41.03;38.87;41.54;38.43;40.60;39.04;40.75;39.84;40.05;39.88;40.29;39.64;41.10;39.29;41.06;40.20;40.18;39.83;46.14;39.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
50.96;44.93;43.38;41.53;39.91;41.01;32.70;36.74;38.61;40.29;39.51;40.49;39.59;40.61;39.97;41.02;39.05;40.75;39.79;40.71;40.24;40.98;38.74;41.03;38.94;41.93;38.50;40.75;39.23;41.26;40.20;39.96;40.37;40.41;39.67;41.21;39.47;41.14;40.20;40.27;40.33;44.93;40.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
52.21;44.40;44.44;41.84;40.73;41.26;32.64;36.81;38.86;40.45;39.67;40.64;39.92;40.85;41.13;42.14;39.42;41.07;40.30;40.86;40.72;41.26;38.98;41.17;39.13;43.13;38.68;41.01;39.89;41.71;40.60;40.17;40.73;40.63;39.93;41.74;39.78;41.26;40.28;40.86;40.68;44.40;40.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
53.18;44.03;45.48;42.35;41.72;42.40;32.68;36.97;39.14;40.65;40.26;40.86;40.61;41.06;41.87;42.85;40.57;42.08;40.74;41.12;41.67;41.54;39.35;41.94;39.48;43.85;38.94;41.40;41.02;42.24;40.98;40.45;41.16;40.90;40.24;42.20;40.24;41.51;40.82;41.31;41.06;44.03;40.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
53.84;43.87;47.42;43.88;42.83;43.26;32.83;37.19;39.88;40.89;40.61;41.16;40.89;41.59;42.69;43.61;41.31;42.73;41.22;41.87;42.06;42.21;40.65;42.60;39.98;44.64;39.35;41.91;41.71;42.86;41.31;40.82;41.58;41.23;40.69;43.54;41.54;41.87;41.18;42.24;41.43;43.87;40.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
