# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
55.31;0.00;52.71;0.00;56.71;0.00;56.05;0.00;54.11;0.00;49.29;0.00;51.58;0.00;51.31;0.00;52.43;0.00;49.99;0.00;52.03;0.00;52.65;0.00;53.22;0.00;51.61;0.00;53.35;0.00;53.69;0.00;53.52;0.00;53.08;0.00;53.64;0.00;53.68;0.00;53.59;0.00;52.67;0.00;52.22;0.00;53.56;0.00;53.24;0.00;51.63;0.00;53.23;0.00;53.93;0.00;53.73;0.00;53.24;0.00;53.34;0.00;52.22;0.00;53.60;0.00;52.51;0.00;52.82;0.00;52.09;0.00;52.66;0.00;52.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
54.79;0.00;52.46;0.00;56.78;0.00;56.69;0.00;53.89;0.00;48.39;0.00;51.86;0.00;51.44;0.00;52.61;0.00;49.70;0.00;51.99;0.00;52.65;0.00;53.24;0.00;51.48;0.00;53.62;0.00;53.87;0.00;53.60;0.00;53.11;0.00;53.66;0.00;53.62;0.00;53.58;0.00;52.61;0.00;51.84;0.00;53.80;0.00;53.07;0.00;51.37;0.00;53.20;0.00;54.08;0.00;53.81;0.00;53.27;0.00;53.29;0.00;52.42;0.00;53.60;0.00;52.50;0.00;52.65;0.00;52.05;0.00;52.53;0.00;52.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
55.26;0.00;52.41;0.00;55.91;0.00;58.21;0.00;53.58;0.00;48.32;0.00;52.19;0.00;51.65;0.00;53.17;0.00;49.00;0.00;52.08;0.00;52.73;0.00;53.49;0.00;51.00;0.00;53.91;0.00;54.00;0.00;53.90;0.00;53.16;0.00;53.80;0.00;53.70;0.00;53.58;0.00;52.46;0.00;51.26;0.00;53.89;0.00;52.84;0.00;51.20;0.00;53.11;0.00;54.21;0.00;53.91;0.00;53.29;0.00;53.19;0.00;52.52;0.00;53.61;0.00;52.47;0.00;52.58;0.00;52.01;0.00;52.51;0.00;52.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
56.68;0.00;53.07;0.00;55.48;0.00;58.62;0.00;53.54;0.00;49.41;0.00;53.61;0.00;52.62;0.00;54.39;0.00;48.75;0.00;52.36;0.00;53.37;0.00;53.81;0.00;50.84;0.00;55.00;0.00;54.20;0.00;54.21;0.00;53.28;0.00;54.56;0.00;53.92;0.00;53.62;0.00;52.45;0.00;51.13;0.00;54.05;0.00;52.83;0.00;51.08;0.00;53.07;0.00;54.54;0.00;54.15;0.00;53.44;0.00;53.16;0.00;52.63;0.00;53.75;0.00;52.47;0.00;52.54;0.00;51.93;0.00;52.50;0.00;52.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
57.37;0.00;53.83;0.00;55.51;0.00;58.58;0.00;54.10;0.00;50.71;0.00;54.71;0.00;53.44;0.00;55.15;0.00;49.06;0.00;53.48;0.00;53.96;0.00;54.32;0.00;50.91;0.00;55.84;0.00;54.92;0.00;54.66;0.00;53.52;0.00;55.25;0.00;54.31;0.00;53.93;0.00;52.56;0.00;51.16;0.00;54.20;0.00;52.87;0.00;51.09;0.00;53.07;0.00;54.75;0.00;54.32;0.00;53.60;0.00;53.18;0.00;52.95;0.00;53.85;0.00;52.48;0.00;52.41;0.00;51.93;0.00;52.49;0.00;52.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
56.48;0.00;53.84;0.00;56.21;0.00;57.41;0.00;55.11;0.00;51.04;0.00;55.92;0.00;54.37;0.00;55.93;0.00;50.26;0.00;54.26;0.00;54.68;0.00;55.73;0.00;52.04;0.00;56.76;0.00;55.46;0.00;56.05;0.00;54.64;0.00;56.11;0.00;55.60;0.00;54.30;0.00;53.11;0.00;51.62;0.00;54.43;0.00;53.19;0.00;51.32;0.00;53.44;0.00;55.01;0.00;54.87;0.00;54.19;0.00;53.50;0.00;53.17;0.00;54.01;0.00;52.54;0.00;52.40;0.00;51.96;0.00;52.53;0.00;52.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
55.23;0.00;53.13;0.00;56.28;0.00;56.72;0.00;55.29;0.00;50.85;0.00;57.84;0.00;56.05;0.00;56.99;0.00;51.32;0.00;55.64;0.00;56.21;0.00;56.52;0.00;53.03;0.00;58.61;0.00;56.07;0.00;56.86;0.00;55.43;0.00;58.05;0.00;56.42;0.00;55.43;0.00;53.48;0.00;52.06;0.00;55.15;0.00;53.47;0.00;52.18;0.00;53.88;0.00;55.76;0.00;55.30;0.00;54.60;0.00;53.83;0.00;53.95;0.00;54.56;0.00;52.68;0.00;52.57;0.00;52.20;0.00;52.65;0.00;52.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
55.01;0.00;52.50;0.00;56.07;0.00;56.31;0.00;54.63;0.00;50.03;0.00;58.24;0.00;56.54;0.00;57.12;0.00;51.44;0.00;56.11;0.00;56.79;0.00;57.20;0.00;54.10;0.00;59.31;0.00;57.32;0.00;58.35;0.00;57.03;0.00;58.93;0.00;57.28;0.00;56.12;0.00;54.21;0.00;52.96;0.00;55.60;0.00;53.84;0.00;52.76;0.00;54.47;0.00;56.28;0.00;55.84;0.00;55.07;0.00;54.22;0.00;54.50;0.00;55.03;0.00;52.87;0.00;52.73;0.00;52.40;0.00;53.08;0.00;53.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
55.16;0.00;52.53;0.00;55.30;0.00;56.54;0.00;54.30;0.00;49.29;0.00;57.70;0.00;56.73;0.00;56.99;0.00;50.75;0.00;56.35;0.00;57.16;0.00;57.99;0.00;55.84;0.00;59.75;0.00;57.80;0.00;58.86;0.00;57.72;0.00;59.60;0.00;58.76;0.00;56.82;0.00;54.54;0.00;53.65;0.00;56.04;0.00;54.76;0.00;53.37;0.00;55.92;0.00;57.60;0.00;57.13;0.00;56.08;0.00;55.25;0.00;55.15;0.00;55.60;0.00;53.39;0.00;52.93;0.00;52.67;0.00;53.32;0.00;53.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;55.19;0.00;0.00;0.00;53.96;0.00;0.00;0.00;56.98;0.00;56.27;0.00;56.13;0.00;50.33;0.00;56.10;0.00;57.12;0.00;57.97;0.00;56.26;0.00;59.66;0.00;58.29;0.00;59.14;0.00;58.23;0.00;60.09;0.00;59.24;0.00;58.04;0.00;54.81;0.00;53.90;0.00;56.88;0.00;55.26;0.00;54.50;0.00;56.69;0.00;58.29;0.00;57.79;0.00;56.55;0.00;55.80;0.00;56.57;0.00;57.01;0.00;53.64;0.00;53.40;0.00;53.23;0.00;53.56;0.00;53.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;55.45;0.00;0.00;0.00;53.96;0.00;0.00;0.00;56.19;0.00;55.80;0.00;55.60;0.00;49.71;0.00;55.71;0.00;56.77;0.00;57.74;0.00;56.39;0.00;59.18;0.00;58.23;0.00;58.94;0.00;58.63;0.00;59.88;0.00;59.47;0.00;58.45;0.00;55.10;0.00;54.30;0.00;57.23;0.00;55.73;0.00;54.92;0.00;58.12;0.00;58.96;0.00;58.41;0.00;56.95;0.00;56.89;0.00;57.29;0.00;57.70;0.00;53.89;0.00;53.68;0.00;53.49;0.00;53.97;0.00;53.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;56.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.87;0.00;55.32;0.00;55.14;0.00;0.00;0.00;54.82;0.00;56.29;0.00;56.79;0.00;55.89;0.00;57.79;0.00;58.00;0.00;58.50;0.00;58.48;0.00;58.74;0.00;59.17;0.00;58.64;0.00;55.03;0.00;54.42;0.00;57.51;0.00;56.42;0.00;55.14;0.00;58.68;0.00;60.03;0.00;59.44;0.00;57.22;0.00;57.31;0.00;57.99;0.00;58.88;0.00;54.24;0.00;53.94;0.00;53.92;0.00;54.13;0.00;54.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.87;0.00;54.49;0.00;54.75;0.00;0.00;0.00;54.43;0.00;55.33;0.00;56.23;0.00;55.45;0.00;57.11;0.00;57.09;0.00;57.96;0.00;58.09;0.00;57.99;0.00;58.68;0.00;58.36;0.00;54.89;0.00;54.46;0.00;57.85;0.00;56.61;0.00;54.99;0.00;59.05;0.00;60.37;0.00;59.80;0.00;57.31;0.00;57.63;0.00;59.10;0.00;59.31;0.00;54.38;0.00;54.38;0.00;54.08;0.00;54.38;0.00;54.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.98;0.00;55.31;0.00;54.54;0.00;57.11;0.00;56.58;0.00;56.86;0.00;56.95;0.00;57.23;0.00;58.07;0.00;57.93;0.00;54.17;0.00;54.17;0.00;57.85;0.00;56.65;0.00;54.62;0.00;59.15;0.00;60.57;0.00;60.00;0.00;57.16;0.00;57.88;0.00;59.46;0.00;59.63;0.00;54.50;0.00;54.50;0.00;54.35;0.00;54.46;0.00;54.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.72;0.00;0.00;0.00;54.54;0.00;0.00;0.00;56.12;0.00;56.86;0.00;56.36;0.00;56.55;0.00;56.74;0.00;57.38;0.00;53.70;0.00;53.91;0.00;57.76;0.00;56.51;0.00;54.09;0.00;58.86;0.00;60.49;0.00;59.91;0.00;56.54;0.00;57.81;0.00;59.64;0.00;59.81;0.00;54.68;0.00;54.57;0.00;54.51;0.00;54.50;0.00;54.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;55.85;0.00;0.00;0.00;56.17;0.00;56.13;0.00;53.18;0.00;53.61;0.00;57.15;0.00;56.32;0.00;52.76;0.00;57.82;0.00;60.20;0.00;59.62;0.00;56.17;0.00;57.61;0.00;59.50;0.00;59.66;0.00;54.69;0.00;54.49;0.00;54.52;0.00;54.51;0.00;54.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
