# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
53.68;0.00;54.30;0.00;54.87;0.00;53.74;0.00;55.34;0.00;49.53;0.00;53.25;0.00;48.31;0.00;55.07;0.00;50.76;0.00;54.12;0.00;52.05;0.00;50.95;0.00;56.06;0.00;49.94;0.00;54.45;0.00;50.10;0.00;54.56;0.00;50.23;0.00;56.46;0.00;52.96;0.00;58.61;0.00;53.87;0.00;56.90;0.00;53.29;0.00;58.19;0.00;54.65;0.00;54.84;0.00;53.10;0.00;57.76;0.00;52.89;0.00;56.17;0.00;54.33;0.00;56.12;0.00;54.41;0.00;54.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
52.92;0.00;54.70;0.00;54.10;0.00;52.55;0.00;55.44;0.00;49.90;0.00;54.12;0.00;48.49;0.00;57.20;0.00;51.22;0.00;54.92;0.00;52.32;0.00;51.12;0.00;58.69;0.00;50.34;0.00;55.72;0.00;50.68;0.00;55.77;0.00;51.66;0.00;59.42;0.00;53.89;0.00;60.70;0.00;55.68;0.00;58.21;0.00;54.08;0.00;59.47;0.00;55.82;0.00;55.89;0.00;54.31;0.00;59.17;0.00;54.66;0.00;59.41;0.00;55.40;0.00;57.34;0.00;55.65;0.00;55.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
52.21;0.00;54.08;0.00;52.55;0.00;51.81;0.00;54.27;0.00;50.19;0.00;54.11;0.00;48.65;0.00;57.70;0.00;51.00;0.00;55.57;0.00;52.09;0.00;50.91;0.00;58.99;0.00;50.22;0.00;56.77;0.00;51.11;0.00;57.53;0.00;51.83;0.00;60.37;0.00;54.47;0.00;62.73;0.00;55.87;0.00;60.25;0.00;54.57;0.00;60.78;0.00;55.27;0.00;56.99;0.00;54.17;0.00;60.33;0.00;55.10;0.00;60.94;0.00;56.11;0.00;59.67;0.00;56.51;0.00;56.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
51.11;0.00;53.29;0.00;52.20;0.00;50.89;0.00;52.65;0.00;50.26;0.00;53.15;0.00;48.82;0.00;56.96;0.00;50.83;0.00;55.93;0.00;51.48;0.00;50.65;0.00;58.09;0.00;50.11;0.00;57.29;0.00;51.09;0.00;57.72;0.00;51.61;0.00;60.65;0.00;54.46;0.00;64.26;0.00;55.59;0.00;60.52;0.00;54.30;0.00;60.53;0.00;54.58;0.00;58.64;0.00;53.77;0.00;61.14;0.00;55.11;0.00;62.05;0.00;56.37;0.00;60.38;0.00;56.86;0.00;56.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
51.09;0.00;52.43;0.00;52.74;0.00;51.24;0.00;52.04;0.00;50.19;0.00;51.89;0.00;48.95;0.00;54.94;0.00;50.78;0.00;55.48;0.00;51.28;0.00;50.70;0.00;55.52;0.00;50.23;0.00;56.68;0.00;50.92;0.00;57.40;0.00;51.22;0.00;60.21;0.00;54.04;0.00;64.73;0.00;54.98;0.00;60.12;0.00;53.86;0.00;59.75;0.00;53.93;0.00;58.88;0.00;53.17;0.00;60.66;0.00;54.81;0.00;62.54;0.00;55.63;0.00;60.56;0.00;56.10;0.00;56.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
51.09;0.00;51.48;0.00;53.38;0.00;51.24;0.00;51.60;0.00;50.28;0.00;51.89;0.00;49.09;0.00;54.94;0.00;50.89;0.00;54.79;0.00;51.28;0.00;50.83;0.00;54.38;0.00;50.23;0.00;54.61;0.00;50.83;0.00;56.61;0.00;50.76;0.00;58.10;0.00;53.61;0.00;63.53;0.00;53.63;0.00;59.17;0.00;53.30;0.00;57.48;0.00;53.11;0.00;58.64;0.00;0.00;0.00;59.74;0.00;53.78;0.00;61.44;0.00;55.01;0.00;60.17;0.00;55.37;0.00;55.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;51.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.61;0.00;50.88;0.00;54.64;0.00;50.75;0.00;57.03;0.00;53.22;0.00;61.77;0.00;53.24;0.00;57.90;0.00;53.35;0.00;56.50;0.00;0.00;0.00;58.02;0.00;0.00;0.00;58.62;0.00;53.37;0.00;60.19;0.00;54.46;0.00;58.25;0.00;54.68;0.00;54.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.64;0.00;50.75;0.00;0.00;0.00;53.22;0.00;59.88;0.00;53.24;0.00;56.64;0.00;53.35;0.00;56.50;0.00;0.00;0.00;57.17;0.00;0.00;0.00;57.49;0.00;53.37;0.00;60.19;0.00;54.09;0.00;58.25;0.00;54.68;0.00;54.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
