# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
40.20;0.00;40.77;0.00;43.83;0.00;42.25;0.00;39.90;0.00;40.96;0.00;40.96;0.00;38.03;0.00;39.99;0.00;39.90;0.00;39.90;0.00;37.17;0.00;39.62;0.00;40.73;0.00;40.73;0.00;40.72;0.00;40.72;0.00;40.03;0.00;40.03;0.00;37.55;0.00;39.81;0.00;40.67;0.00;40.67;0.00;38.36;0.00;41.05;0.00;39.73;0.00;39.73;0.00;39.47;0.00;39.47;0.00;40.23;0.00;40.23;0.00;39.91;0.00;39.91;0.00;41.99;0.00;41.99;0.00;38.30;0.00;41.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.32;0.00;41.28;0.00;44.07;0.00;42.19;0.00;39.89;0.00;40.69;0.00;40.69;0.00;37.85;0.00;39.93;0.00;39.85;0.00;39.85;0.00;37.15;0.00;39.60;0.00;40.56;0.00;40.56;0.00;40.69;0.00;40.69;0.00;39.96;0.00;39.96;0.00;37.54;0.00;39.73;0.00;40.52;0.00;40.52;0.00;38.25;0.00;40.73;0.00;39.72;0.00;39.72;0.00;39.48;0.00;39.48;0.00;40.11;0.00;40.11;0.00;39.77;0.00;39.77;0.00;41.49;0.00;41.49;0.00;38.11;0.00;41.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.32;0.00;42.09;0.00;44.00;0.00;41.87;0.00;39.79;0.00;40.65;0.00;40.65;0.00;37.63;0.00;39.87;0.00;39.94;0.00;39.94;0.00;37.18;0.00;39.60;0.00;40.56;0.00;40.56;0.00;40.55;0.00;40.55;0.00;39.90;0.00;39.90;0.00;37.50;0.00;39.69;0.00;40.40;0.00;40.40;0.00;38.19;0.00;40.57;0.00;39.71;0.00;39.71;0.00;39.50;0.00;39.50;0.00;39.87;0.00;39.87;0.00;39.69;0.00;39.69;0.00;41.23;0.00;41.23;0.00;38.03;0.00;40.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.46;0.00;44.01;0.00;43.63;0.00;41.57;0.00;39.74;0.00;41.07;0.00;41.07;0.00;38.04;0.00;39.92;0.00;40.69;0.00;40.69;0.00;37.37;0.00;39.63;0.00;40.85;0.00;40.85;0.00;40.48;0.00;40.48;0.00;40.01;0.00;40.01;0.00;37.58;0.00;39.75;0.00;40.23;0.00;40.23;0.00;38.18;0.00;40.38;0.00;39.72;0.00;39.72;0.00;39.55;0.00;39.55;0.00;39.69;0.00;39.69;0.00;39.79;0.00;39.79;0.00;40.99;0.00;40.99;0.00;37.95;0.00;40.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.68;0.00;44.68;0.00;43.49;0.00;41.60;0.00;39.91;0.00;42.57;0.00;42.57;0.00;39.47;0.00;40.14;0.00;41.44;0.00;41.44;0.00;37.71;0.00;40.03;0.00;42.21;0.00;42.21;0.00;40.49;0.00;40.49;0.00;40.56;0.00;40.56;0.00;38.09;0.00;39.85;0.00;40.20;0.00;40.20;0.00;38.30;0.00;40.36;0.00;39.75;0.00;39.75;0.00;39.67;0.00;39.67;0.00;39.75;0.00;39.75;0.00;40.01;0.00;40.01;0.00;40.85;0.00;40.85;0.00;38.02;0.00;40.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
41.02;0.00;44.98;0.00;43.54;0.00;41.81;0.00;40.38;0.00;45.08;0.00;45.08;0.00;40.50;0.00;40.55;0.00;43.61;0.00;43.61;0.00;39.04;0.00;40.48;0.00;44.63;0.00;44.63;0.00;40.94;0.00;40.94;0.00;41.09;0.00;41.09;0.00;39.11;0.00;40.04;0.00;40.29;0.00;40.29;0.00;38.75;0.00;40.41;0.00;39.83;0.00;39.83;0.00;39.79;0.00;39.79;0.00;40.36;0.00;40.36;0.00;40.88;0.00;40.88;0.00;41.09;0.00;41.09;0.00;38.32;0.00;41.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42.28;0.00;44.65;0.00;44.45;0.00;42.77;0.00;41.18;0.00;47.83;0.00;47.83;0.00;42.83;0.00;42.10;0.00;46.18;0.00;46.18;0.00;40.99;0.00;41.85;0.00;47.37;0.00;47.37;0.00;41.47;0.00;41.47;0.00;42.72;0.00;42.72;0.00;40.55;0.00;40.76;0.00;40.48;0.00;40.48;0.00;39.54;0.00;40.60;0.00;40.17;0.00;40.17;0.00;39.97;0.00;39.97;0.00;41.53;0.00;41.53;0.00;42.31;0.00;42.31;0.00;41.54;0.00;41.54;0.00;38.88;0.00;42.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
43.13;0.00;44.17;0.00;45.37;0.00;44.21;0.00;43.70;0.00;49.81;0.00;49.81;0.00;44.77;0.00;43.25;0.00;48.34;0.00;48.34;0.00;42.06;0.00;43.49;0.00;49.68;0.00;49.68;0.00;43.17;0.00;43.17;0.00;44.84;0.00;44.84;0.00;41.39;0.00;41.27;0.00;40.77;0.00;40.77;0.00;40.36;0.00;40.84;0.00;40.50;0.00;40.50;0.00;40.67;0.00;40.67;0.00;42.99;0.00;42.99;0.00;43.99;0.00;43.99;0.00;43.21;0.00;43.21;0.00;40.77;0.00;43.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44.61;0.00;43.22;0.00;46.51;0.00;45.09;0.00;45.24;0.00;50.26;0.00;50.26;0.00;45.65;0.00;44.52;0.00;49.32;0.00;49.32;0.00;43.95;0.00;44.88;0.00;51.00;0.00;51.00;0.00;44.23;0.00;44.23;0.00;46.84;0.00;46.84;0.00;43.01;0.00;41.92;0.00;41.50;0.00;41.50;0.00;40.77;0.00;41.12;0.00;41.49;0.00;41.49;0.00;41.79;0.00;41.79;0.00;44.52;0.00;44.52;0.00;45.55;0.00;45.55;0.00;44.31;0.00;44.31;0.00;41.95;0.00;45.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44.92;0.00;43.08;0.00;48.94;0.00;44.82;0.00;48.24;0.00;49.89;0.00;49.89;0.00;45.17;0.00;47.04;0.00;49.23;0.00;49.23;0.00;45.00;0.00;45.62;0.00;51.01;0.00;51.01;0.00;45.31;0.00;45.31;0.00;48.28;0.00;48.28;0.00;44.21;0.00;43.39;0.00;42.11;0.00;42.11;0.00;41.44;0.00;41.85;0.00;42.11;0.00;42.11;0.00;43.17;0.00;43.17;0.00;45.23;0.00;45.23;0.00;46.70;0.00;46.70;0.00;46.76;0.00;46.76;0.00;43.19;0.00;46.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44.83;0.00;43.75;0.00;49.95;0.00;43.91;0.00;49.42;0.00;48.10;0.00;48.10;0.00;44.52;0.00;48.08;0.00;48.04;0.00;48.04;0.00;44.92;0.00;45.49;0.00;50.51;0.00;50.51;0.00;47.31;0.00;47.31;0.00;48.86;0.00;48.86;0.00;44.68;0.00;44.14;0.00;42.48;0.00;42.48;0.00;41.67;0.00;42.23;0.00;43.46;0.00;43.46;0.00;44.64;0.00;44.64;0.00;46.29;0.00;46.29;0.00;47.00;0.00;47.00;0.00;47.94;0.00;47.94;0.00;45.56;0.00;47.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
43.71;0.00;44.49;0.00;50.67;0.00;43.45;0.00;50.22;0.00;45.78;0.00;45.78;0.00;42.85;0.00;49.27;0.00;46.02;0.00;46.02;0.00;43.86;0.00;45.10;0.00;48.70;0.00;48.70;0.00;48.10;0.00;48.10;0.00;48.75;0.00;48.75;0.00;44.37;0.00;45.46;0.00;42.60;0.00;42.60;0.00;42.09;0.00;42.61;0.00;44.76;0.00;44.76;0.00;45.33;0.00;45.33;0.00;46.81;0.00;46.81;0.00;47.04;0.00;47.04;0.00;49.03;0.00;49.03;0.00;46.56;0.00;49.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42.95;0.00;45.79;0.00;50.87;0.00;43.08;0.00;50.42;0.00;44.74;0.00;43.84;0.00;41.26;0.00;49.31;0.00;45.00;0.00;45.00;0.00;43.13;0.00;43.93;0.00;47.58;0.00;46.47;0.00;48.71;0.00;48.71;0.00;48.39;0.00;48.39;0.00;43.46;0.00;46.01;0.00;42.74;0.00;42.74;0.00;42.23;0.00;43.29;0.00;45.84;0.00;45.84;0.00;46.42;0.00;46.42;0.00;46.64;0.00;46.64;0.00;46.34;0.00;46.34;0.00;50.63;0.00;50.63;0.00;47.90;0.00;49.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42.23;0.00;0.00;0.00;50.30;0.00;0.00;0.00;49.85;0.00;0.00;0.00;42.61;0.00;40.21;0.00;48.99;0.00;0.00;0.00;43.31;0.00;41.70;0.00;42.65;0.00;0.00;0.00;44.56;0.00;49.12;0.00;49.12;0.00;47.00;0.00;47.00;0.00;42.87;0.00;46.39;0.00;42.97;0.00;42.97;0.00;42.44;0.00;43.53;0.00;46.50;0.00;46.50;0.00;46.92;0.00;46.92;0.00;46.31;0.00;46.31;0.00;45.13;0.00;45.13;0.00;51.07;0.00;51.07;0.00;48.11;0.00;49.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
41.61;0.00;0.00;0.00;49.38;0.00;0.00;0.00;48.91;0.00;0.00;0.00;42.22;0.00;39.75;0.00;47.44;0.00;0.00;0.00;42.18;0.00;40.60;0.00;41.70;0.00;0.00;0.00;43.30;0.00;48.91;0.00;48.91;0.00;45.09;0.00;45.09;0.00;41.64;0.00;46.68;0.00;43.01;0.00;43.01;0.00;42.41;0.00;43.80;0.00;46.60;0.00;46.60;0.00;46.80;0.00;46.80;0.00;45.83;0.00;45.83;0.00;44.42;0.00;44.42;0.00;51.08;0.00;51.08;0.00;48.02;0.00;48.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;46.96;0.00;0.00;0.00;46.52;0.00;0.00;0.00;42.00;0.00;39.74;0.00;45.37;0.00;0.00;0.00;41.45;0.00;40.19;0.00;41.12;0.00;0.00;0.00;42.70;0.00;47.77;0.00;47.77;0.00;0.00;0.00;43.35;0.00;40.67;0.00;46.55;0.00;42.92;0.00;42.92;0.00;42.12;0.00;43.93;0.00;46.45;0.00;46.45;0.00;46.04;0.00;46.04;0.00;44.59;0.00;44.59;0.00;0.00;0.00;43.09;0.00;50.67;0.00;50.67;0.00;46.93;0.00;46.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;45.72;0.00;0.00;0.00;45.32;0.00;0.00;0.00;41.79;0.00;40.07;0.00;44.42;0.00;0.00;0.00;41.09;0.00;39.68;0.00;40.92;0.00;0.00;0.00;42.52;0.00;46.96;0.00;46.96;0.00;0.00;0.00;42.21;0.00;40.02;0.00;46.26;0.00;42.46;0.00;42.46;0.00;41.59;0.00;44.04;0.00;45.79;0.00;45.79;0.00;45.48;0.00;45.48;0.00;43.91;0.00;43.91;0.00;0.00;0.00;42.12;0.00;50.00;0.00;50.00;0.00;46.05;0.00;44.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;41.77;0.00;40.31;0.00;42.96;0.00;0.00;0.00;40.93;0.00;39.61;0.00;40.69;0.00;0.00;0.00;42.22;0.00;46.08;0.00;45.21;0.00;0.00;0.00;41.79;0.00;39.79;0.00;45.23;0.00;42.46;0.00;42.14;0.00;41.29;0.00;44.15;0.00;44.80;0.00;44.80;0.00;44.85;0.00;44.85;0.00;0.00;0.00;43.26;0.00;0.00;0.00;41.50;0.00;48.11;0.00;48.11;0.00;45.04;0.00;43.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
