# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
54.73;0.00;52.74;0.00;52.27;0.00;49.59;0.00;46.77;0.00;46.76;0.00;44.00;0.00;45.77;0.00;46.06;0.00;46.73;0.00;45.11;0.00;46.42;0.00;45.69;0.00;46.51;0.00;46.51;0.00;0.00;0.00;44.42;0.00;45.94;0.00;45.94;0.00;0.00;0.00;46.18;0.00;46.16;0.00;47.22;0.00;0.00;0.00;47.17;0.00;46.96;0.00;46.96;0.00;0.00;0.00;47.35;0.00;44.65;0.00;47.03;0.00;0.00;0.00;47.07;0.00;47.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
54.82;0.00;51.85;0.00;56.33;0.00;49.71;0.00;46.61;0.00;46.64;0.00;43.86;0.00;45.66;0.00;45.72;0.00;46.29;0.00;44.88;0.00;46.00;0.00;45.43;0.00;46.11;0.00;46.11;0.00;0.00;0.00;44.15;0.00;45.71;0.00;45.71;0.00;0.00;0.00;45.86;0.00;45.53;0.00;46.84;0.00;0.00;0.00;46.72;0.00;46.39;0.00;46.39;0.00;0.00;0.00;46.81;0.00;44.22;0.00;46.55;0.00;0.00;0.00;46.70;0.00;46.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
53.24;0.00;51.34;0.00;58.52;0.00;49.98;0.00;46.52;0.00;46.77;0.00;43.94;0.00;45.63;0.00;45.75;0.00;46.36;0.00;45.34;0.00;45.84;0.00;45.29;0.00;45.99;0.00;45.99;0.00;0.00;0.00;44.39;0.00;45.76;0.00;45.76;0.00;0.00;0.00;45.58;0.00;45.23;0.00;46.58;0.00;0.00;0.00;46.18;0.00;45.92;0.00;45.92;0.00;0.00;0.00;46.19;0.00;44.17;0.00;46.30;0.00;0.00;0.00;46.11;0.00;46.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
50.89;0.00;51.62;0.00;61.51;0.00;50.39;0.00;47.09;0.00;47.42;0.00;44.56;0.00;45.89;0.00;46.39;0.00;47.04;0.00;46.36;0.00;45.81;0.00;45.99;0.00;45.97;0.00;45.97;0.00;0.00;0.00;44.68;0.00;46.21;0.00;46.21;0.00;0.00;0.00;45.55;0.00;45.01;0.00;46.15;0.00;0.00;0.00;45.86;0.00;45.82;0.00;45.82;0.00;0.00;0.00;45.94;0.00;44.70;0.00;45.96;0.00;0.00;0.00;45.90;0.00;45.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
49.99;0.00;53.53;0.00;61.14;0.00;52.09;0.00;48.18;0.00;48.42;0.00;45.42;0.00;46.18;0.00;46.91;0.00;47.90;0.00;46.93;0.00;46.31;0.00;47.28;0.00;46.46;0.00;46.46;0.00;0.00;0.00;45.35;0.00;46.97;0.00;46.97;0.00;0.00;0.00;45.86;0.00;44.93;0.00;46.11;0.00;0.00;0.00;46.10;0.00;45.91;0.00;45.91;0.00;0.00;0.00;45.68;0.00;45.15;0.00;46.19;0.00;0.00;0.00;46.15;0.00;46.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
49.30;0.00;54.76;0.00;59.73;0.00;54.53;0.00;48.71;0.00;48.92;0.00;46.17;0.00;46.85;0.00;47.45;0.00;48.65;0.00;47.86;0.00;47.42;0.00;48.55;0.00;46.94;0.00;46.94;0.00;0.00;0.00;45.94;0.00;47.68;0.00;47.68;0.00;0.00;0.00;46.15;0.00;45.45;0.00;46.39;0.00;0.00;0.00;46.76;0.00;46.34;0.00;46.34;0.00;0.00;0.00;45.91;0.00;46.16;0.00;46.53;0.00;0.00;0.00;46.68;0.00;46.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;54.16;0.00;55.85;0.00;55.66;0.00;49.49;0.00;49.63;0.00;46.70;0.00;47.19;0.00;48.45;0.00;48.85;0.00;48.26;0.00;48.05;0.00;49.33;0.00;47.49;0.00;47.49;0.00;0.00;0.00;46.41;0.00;47.94;0.00;47.94;0.00;0.00;0.00;46.95;0.00;46.39;0.00;46.67;0.00;0.00;0.00;47.13;0.00;46.64;0.00;46.64;0.00;0.00;0.00;46.51;0.00;47.12;0.00;47.00;0.00;0.00;0.00;47.35;0.00;47.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;53.48;0.00;54.10;0.00;55.35;0.00;49.68;0.00;49.76;0.00;46.84;0.00;47.48;0.00;48.80;0.00;48.77;0.00;47.98;0.00;49.09;0.00;49.44;0.00;48.63;0.00;48.63;0.00;0.00;0.00;46.63;0.00;48.17;0.00;48.17;0.00;0.00;0.00;47.74;0.00;47.41;0.00;47.00;0.00;0.00;0.00;47.86;0.00;47.26;0.00;47.26;0.00;0.00;0.00;47.17;0.00;47.84;0.00;48.06;0.00;0.00;0.00;47.72;0.00;47.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;52.78;0.00;0.00;0.00;53.81;0.00;49.15;0.00;49.68;0.00;46.73;0.00;47.78;0.00;49.12;0.00;48.06;0.00;47.20;0.00;49.49;0.00;49.04;0.00;49.10;0.00;49.10;0.00;0.00;0.00;46.58;0.00;48.10;0.00;48.10;0.00;0.00;0.00;48.32;0.00;48.16;0.00;47.70;0.00;0.00;0.00;48.42;0.00;47.78;0.00;47.78;0.00;0.00;0.00;47.78;0.00;48.36;0.00;48.62;0.00;0.00;0.00;48.35;0.00;48.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;0.00;52.64;0.00;48.30;0.00;48.99;0.00;46.33;0.00;47.73;0.00;49.01;0.00;47.29;0.00;46.48;0.00;49.16;0.00;48.14;0.00;49.53;0.00;49.53;0.00;0.00;0.00;46.25;0.00;47.92;0.00;47.92;0.00;0.00;0.00;48.53;0.00;48.36;0.00;48.02;0.00;0.00;0.00;48.75;0.00;48.15;0.00;48.15;0.00;0.00;0.00;48.02;0.00;48.70;0.00;49.60;0.00;0.00;0.00;48.79;0.00;48.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
