# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
37.42;35.07;36.12;38.72;36.80;34.95;35.84;33.59;34.86;33.76;34.81;33.66;31.78;34.68;33.91;34.89;32.12;35.02;37.60;31.43;35.19;30.65;34.86;33.92;32.87;33.53;32.14;34.11;35.28;33.84;32.82;35.35;30.85;32.99;34.22;31.40;33.88;32.89;33.93;33.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
37.23;35.33;36.53;38.80;36.86;34.68;35.63;33.44;34.70;33.67;34.67;33.59;31.56;34.55;33.81;34.69;31.65;34.70;37.18;31.24;34.75;30.18;34.54;33.83;32.86;33.40;31.66;33.98;35.07;33.46;32.39;34.97;30.55;32.99;34.12;31.16;33.78;32.79;33.75;33.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
36.95;35.40;37.88;38.71;36.83;34.65;35.34;33.31;34.45;33.59;34.53;33.53;31.31;34.43;33.73;34.42;30.66;34.61;36.38;31.11;34.57;30.07;34.45;33.75;32.95;33.39;31.52;33.90;34.90;33.28;32.25;34.78;30.49;33.07;34.01;31.10;33.66;32.64;33.67;33.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
36.66;35.58;38.84;38.66;36.77;34.95;35.31;33.22;34.63;33.64;34.35;33.54;31.37;34.34;33.78;34.42;30.27;34.84;36.17;31.26;34.66;30.08;34.59;33.69;33.26;33.52;31.65;33.88;34.79;33.28;32.18;34.65;30.57;33.29;33.98;31.13;33.63;32.61;33.60;33.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
36.68;35.71;40.35;39.38;36.80;35.31;35.67;33.44;34.91;33.79;34.42;33.59;32.01;34.29;33.94;34.85;30.08;35.21;36.36;32.04;35.19;30.21;34.83;33.82;33.54;33.93;32.41;33.95;34.91;33.61;32.55;34.54;30.77;33.48;34.00;31.30;33.62;32.63;33.60;33.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
37.16;36.12;40.45;40.21;36.87;36.17;35.99;34.10;35.66;34.07;34.64;33.88;32.52;34.46;34.23;35.19;30.12;36.33;37.31;32.65;36.02;30.48;35.56;34.03;34.36;34.19;32.94;34.38;35.37;33.89;33.44;34.64;31.08;34.08;34.05;31.94;33.67;32.71;33.91;33.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
37.96;36.49;40.02;42.57;37.07;36.56;36.58;34.51;36.01;34.48;35.43;34.13;33.76;34.73;34.59;36.08;30.83;37.28;38.59;33.93;36.40;30.89;36.27;34.61;34.78;34.46;33.93;34.72;35.62;34.52;33.97;35.06;31.48;34.81;34.35;32.34;34.00;32.86;34.14;34.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
39.00;37.64;38.86;43.89;37.39;36.88;36.76;35.27;36.58;35.58;35.90;34.46;34.36;35.54;35.35;36.90;31.38;37.60;39.19;34.99;36.69;31.89;36.53;34.89;35.16;34.70;34.34;35.09;35.96;35.06;35.02;35.33;31.91;35.13;34.55;32.76;34.28;33.34;34.66;34.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.22;38.37;38.41;46.07;38.61;37.35;36.91;35.56;37.01;36.15;36.82;34.87;35.36;35.97;35.64;37.23;31.97;38.06;40.15;35.41;36.90;32.34;36.92;35.29;35.78;34.89;34.95;35.45;36.07;35.27;35.46;35.87;32.77;35.43;34.96;33.19;34.58;33.64;35.14;35.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42.60;38.99;0.00;46.67;39.43;37.54;37.19;36.02;37.17;36.70;37.21;35.72;35.69;36.75;35.99;37.67;33.06;38.29;40.45;35.96;37.11;32.71;37.07;35.43;36.02;35.18;35.26;35.80;36.17;35.61;36.07;36.09;33.13;35.81;35.16;33.94;34.87;33.93;35.32;35.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
