# Roda 1;Roda 2;Roda 3;Roda 4;Roda 5;Roda 6;Roda 7;Roda 8;Roda 9;Roda 10;Roda 11;Roda 12;Roda 13;Roda 14;Roda 15;Roda 16;Roda 17;Roda 18;Roda 19;Roda 20;Roda 21;Roda 22;Roda 23;Roda 24;Roda 25;Roda 26;Roda 27;Roda 28;Roda 29;Roda 30;Roda 31;Roda 32;Roda 33;Roda 34;Roda 35;Roda 36;Roda 37;Roda 38;Roda 39;Roda 40;Roda 41;Roda 42;Roda 43;Roda 44;Roda 45;Roda 46;Roda 47;Roda 48;Roda 49;Roda 50;Roda 51;Roda 52;Roda 53;Roda 54;Roda 55;Roda 56;Roda 57;Roda 58;Roda 59;Roda 60;Roda 61;Roda 62;Roda 63;Roda 64;Roda 65;Roda 66;Roda 67;Roda 68;Roda 69;Roda 70;Roda 71;Roda 72;Roda 73;Roda 74;Roda 75;Roda 76;Roda 77;Roda 78;Roda 79;Roda 80;Roda 81;Roda 82;Roda 83;Roda 84;Roda 85;Roda 86;Roda 87;Roda 88;Roda 89;Roda 90;Roda 91;Roda 92;Roda 93;Roda 94;Roda 95;Roda 96;Roda 97;Roda 98;Roda 99;Roda 100
40.58;37.13;38.22;40.17;38.31;36.54;37.68;37.68;37.08;37.08;37.20;37.20;34.55;36.56;36.86;36.86;33.19;36.82;38.05;38.05;34.88;37.30;38.08;38.08;35.68;38.12;35.09;36.87;36.33;35.40;36.83;36.83;36.60;36.60;36.75;38.50;38.50;37.72;37.72;35.26;37.22;37.13;36.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.67;37.15;39.75;40.30;38.28;36.35;37.45;37.45;36.92;36.92;36.98;36.98;34.44;36.25;36.73;36.73;33.15;36.49;37.46;37.46;34.54;37.02;37.36;37.36;35.57;37.79;34.95;36.74;36.09;35.29;36.61;36.61;36.46;36.46;36.57;37.92;37.92;37.41;37.41;35.11;37.00;37.15;36.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.55;37.14;40.45;40.26;38.00;36.24;37.22;37.22;36.59;36.59;36.75;36.75;34.34;36.09;36.61;36.61;33.12;36.34;37.15;37.15;34.37;36.75;37.10;37.10;35.44;37.43;34.87;36.61;36.05;35.16;36.41;36.41;36.29;36.29;36.29;37.64;37.64;36.80;36.80;34.97;36.83;37.14;36.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.25;37.05;40.95;40.12;37.84;36.05;37.00;37.00;36.46;36.46;36.61;36.61;34.25;35.97;36.51;36.51;33.17;36.23;36.90;36.90;34.41;36.54;36.89;36.89;35.35;37.11;34.84;36.43;36.19;35.21;36.24;36.24;36.06;36.06;36.14;37.40;37.40;36.31;36.31;34.86;36.70;37.05;35.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
39.87;37.06;40.74;39.90;37.75;36.05;36.81;36.81;36.27;36.27;36.49;36.49;34.22;35.88;36.41;36.41;33.46;36.18;36.71;36.71;34.94;36.38;37.02;37.02;35.42;36.71;34.91;36.45;36.70;35.38;36.05;36.05;36.02;36.02;36.16;37.16;37.16;36.15;36.15;34.77;36.54;37.06;35.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
39.51;37.13;40.04;39.98;37.80;36.14;36.66;36.66;36.27;36.27;36.46;36.46;34.21;35.88;36.49;36.49;33.74;36.20;36.86;36.86;35.40;36.46;37.69;37.69;35.61;36.74;35.09;36.61;0.00;36.13;36.08;36.08;36.06;36.06;36.26;37.00;37.00;36.17;36.17;34.81;36.50;37.13;35.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
39.81;37.28;39.92;40.98;38.38;36.33;36.66;36.66;36.54;36.54;36.57;36.57;34.46;35.94;36.72;36.72;34.54;36.35;37.21;37.21;36.57;36.70;0.00;38.61;35.92;36.92;35.80;36.89;0.00;36.66;36.24;36.24;36.18;36.18;36.44;36.88;36.88;36.33;36.33;35.11;36.54;37.28;35.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40.53;37.51;40.37;42.04;39.02;36.64;36.81;36.81;36.77;36.77;37.11;37.11;34.75;36.29;37.08;37.08;35.48;36.60;37.71;37.71;37.19;37.10;0.00;39.05;36.33;37.27;36.23;37.27;0.00;37.22;36.52;36.52;36.38;36.38;36.68;37.01;37.01;36.84;36.84;35.39;36.66;37.51;35.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
41.62;37.87;41.27;45.25;41.34;36.98;37.02;37.02;37.29;37.29;37.47;37.47;35.15;36.58;37.51;37.51;35.91;37.44;38.28;38.28;38.40;37.59;0.00;39.72;36.80;37.69;36.65;37.64;0.00;37.77;36.86;36.86;36.66;36.66;37.18;37.23;37.23;37.08;37.08;35.76;36.89;37.87;35.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
43.02;39.31;0.00;47.13;42.85;37.62;37.46;37.46;37.71;37.71;38.26;38.26;35.60;36.91;38.01;38.01;36.67;37.96;39.47;39.47;38.90;38.11;0.00;39.96;37.30;38.16;36.97;38.27;0.00;38.28;37.71;37.71;37.40;37.40;37.41;37.51;37.51;37.31;37.31;36.55;37.23;39.31;36.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
